Account,Day,Campaign,Ad group,Ad group state,Clicks,Impressions,CTR,Avg. CPC,Cost
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_FamilyCommunity_LTG000_oo_oo_S_A#11,LONG25_2,enabled,5,367,1.36%,0.22,1.09
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_Finance_LTG000_oo_oo_S_A#2,LONG35_1,enabled,391,5016,7.80%,0.45,177.04
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_Health_LTG000_oo_oo_S_A#3,LONG25_1,enabled,46,1761,2.61%,0.40,18.29
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_Health_LTG000_oo_oo_S_A#3,LONG35_2,enabled,1263,18322,6.89%,0.50,633.72
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_Health_LTG000_oo_oo_S_A#3,LONG35_3,enabled,130,1735,7.49%,0.45,58.94
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_HobbiesLeisure_LTG000_oo_oo_S_A#4,LONG25_2,enabled,58,2457,2.36%,0.42,24.39
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_HobbiesLeisure_LTG000_oo_oo_S_A#4,LONG25_3,enabled,40,1632,2.45%,0.46,18.26
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_HobbiesLeisure_LTG000_oo_oo_S_A#4,LONG25_4,enabled,46,1997,2.30%,0.43,19.73
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_HobbiesLeisure_LTG000_oo_oo_S_A#4,LONG35_1,enabled,260,8225,3.16%,0.51,132.04
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_HomeGarden_LTG000_oo_oo_S_A#5,LONG25_1,enabled,7,343,2.04%,0.47,3.26
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_HomeGarden_LTG000_oo_oo_S_A#5,LONG25_2,enabled,15,443,3.39%,0.44,6.59
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_HomeGarden_LTG000_oo_oo_S_A#5,LONG25_6,enabled,4,343,1.17%,0.52,2.10
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_InternetTelecom_LTG000_oo_oo_S_A#11,LONG25_2,enabled,5,99,5.05%,0.30,1.49
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_JobsEducation_LTG000_oo_oo_S_A#6,LONG25_1,enabled,29,973,2.98%,0.25,7.28
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_JobsEducation_LTG000_oo_oo_S_A#6,LONG35_1,enabled,249,4001,6.22%,0.37,91.44
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_JobsEducation_LTG000_oo_oo_S_A#6,LONG35_2,enabled,175,2548,6.87%,0.42,73.35
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_05_P_RetailersGeneralMerchandise_LTG000_oo_oo_S_A#8,LONG35_1,enabled,15,432,3.47%,0.23,3.42
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_05_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG25_2,enabled,9,421,2.14%,0.29,2.62
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_05_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG25_4,enabled,6,241,2.49%,0.39,2.35
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_05_P_TravelTourism_LTG000_oo_oo_S_A#9,LONG25_3,enabled,45,2050,2.20%,0.51,22.89
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_05_P_TravelTourism_LTG000_oo_oo_S_A#9,LONG35_1,enabled,120,2379,5.04%,0.47,56.51
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_05_P_Vehicles_LTG000_oo_oo_S_A#10,LONG25_3,enabled,19,791,2.40%,0.26,4.99
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_05_P_Vehicles_LTG000_oo_oo_S_A#10,LONG25_4,enabled,32,1287,2.49%,0.36,11.52
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_05_P_Vehicles_LTG000_oo_oo_S_A#10,LONG25_5,enabled,17,785,2.17%,0.47,7.93
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_05_P_Vehicles_LTG000_oo_oo_S_A#10,LONG35_1,enabled,69,1174,5.88%,0.36,24.60
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_RealEstate_LTG000_oo_oo_S_A#11,LONG25_2,enabled,5,171,2.92%,0.28,1.42
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_RealEstate_LTG000_oo_oo_S_A#11,LONG35_1,enabled,26,594,4.38%,0.31,8.06
